,Text in Sade_120,Text in B,Location in Sade_120,Location in B
Anonyme_Etourdi_0,tre mère s'était déterminée à PASSER LE RESTE DE SES JOURS DANS UN petit appartement secret qu'i,vœu fatal qui la comdamnait à PASSER LE RESTE DE SES JOURS DANS UNE prison. Elle était également ,"(204923, 204959)","(191523, 191560)"
Arnaud_Epoux_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","(428067, 428096)","(93940, 93969)"
Arnaud_Sentiment_0,"quée, il fit trouver chez lui LA FEMME ET LA FILLE DE CE malheureux, tout était bien f","; Nelly ne pouvait m'oublier; LA FEMME ET LA FILLE DE CE barbare parent, aussi cruelle","(39178, 39204)","(867288, 867314)"
Beaumont_Clarice_0,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant ",. Dieu me garde de plus grands MALHEURS QUE DE CELUI D'ÊTRe pauvre; je n'ai pas besoin d,"(248396, 248425)","(341190, 341218)"
bible_0,"t. Elle n'avait jamais quitté LA MAISON DE SON PÈRE, ET LE scélérat dès l'âge de douze a","s, et elle le fit entrer dans LA MAISON DE SON PÈRE. ET LE père
de la jeune femme le voy","(47689, 47717)","(1079423, 1079451)"
bible_1,jets. Son ventre était ondoyé COMME LES FLOTS DE LA MER ET elle avait une fesse mangée p,"omme un fleuve, et ta justice COMME LES FLOTS DE LA MER ;

19 ET ta postérité eût été comme le","(93855, 93883)","(1079423, 1079451)"
Cazotte_Diable_0," faire coucher les enfants et DE PASSER UNE PARTIE DE LA NUIT à boire, rien qu'avec les 4 v","t le jour ne me forçaient pas DE PASSER UNE PARTIE DE LA NUIT au milieu de la campagne, ou ","(472753, 472784)","(93198, 93229)"
Charriere_Lausanne_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(428067, 428096)","(141417, 141446)"
Constant_Laure1_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(428067, 428096)","(40664, 40693)"
Constant_Laure2_0," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(428063, 428096)","(78630, 78663)"
Crebillon_Atheniennes_0,"de, depuis 15 ans jusqu'à 18, NI AU-DESSUS NI AU-DESSOUS, ET pas dessus toute qualité, il ","e, le Strymon n'étant guéable NI AU-DESSUS, NI AU-DESSOUS, ET lui, n'ayant, ni ne pouvant r","(302269, 302299)","(897961, 897992)"
Crebillon_Conte_0,"é mademoiselle,"" dit Durcet, ""VOUS AURIEZ BIEN PU VOUS DISPENSER DE relever ainsi les enfantillag"," affaire; mais, en ce cas-là, VOUS AURIEZ BIEN PU VOUS DISPENSER DE me parler de lui. Comme ce pr","(343435, 343472)","(454469, 454506)"
Crebillon_Conte_1,"emmes, il ne les toucha pas.) IL N'EN FUT PAS DE MÊME DES trois autres amis, relativeme"," ses mauvaises plaisanteries, IL N'EN FUT PAS DE MÊME DES regards tendres que, malgré s","(417939, 417966)","(454469, 454506)"
Crebillon_Nuit_0,"misère effroyable, et c'était PAR LE PLUS GRAND HASARD DU MONDE, que cette charmante fille, q","ue vous avez à sacrifier. Si, PAR LE PLUS GRAND HASARD DU MONDE, il se trouvait qu'une femme ","(549695, 549728)","(6928, 6961)"
Diderot_Jacques_0, détermina de constater enfin LES JEUNES FILLES ET LES JEUNES GARÇONS que l'on pouvait mettre au ra,t un moment où presque toutes LES JEUNES FILLES ET LES JEUNES GARÇONS tombent dans la mélancolie ; ,"(706344, 706383)","(313273, 313312)"
Diderot_Religieuse_0,"tait pas illustre, elle était ORPHELINE DE PÈRE ET DE MÈRE, ELLE l'avait été fort jeune, et co","aractère d'exagérer. Elle est ORPHELINE DE PÈRE ET DE MÈRE ; ELLE est bien née, et son éducatio","(156973, 157007)","(395781, 395816)"
Dorat_Malheurs_0," quelque chose là-dessous, te DIS-JE, JE NE L'AI JAMAIS AIMÉ, le vieux Gardien, il est méc"," me prouvât le contraire. Que DIS-JE! JE NE L'AI JAMAIS AIMÉE; je me trompais moi-même, tou","(199152, 199182)","(100953, 100984)"
Dorat_Sacrifices_0,"2 de long, il avait 30 ans et DE LA PLUS JOLIE FIGURE DU MONDE. Briseeul avait un hochet si ",e; ils prétendent qu'elle est DE LA PLUS JOLIE FIGURE DU MONDE; je n'ai point vu cela. Ils s,"(89536, 89568)","(42437, 42469)"
Fourqueux_Zely_0," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS dire, indépendamment de bille","“retenez bien mes conseils, c'EST TOUT “CE QUE JE PUIS VOUS laisser. Je vous “ai enlevé d","(428063, 428091)","(14294, 14323)"
Genlis_Adele_0,our dépuceler la petite fille DANS LES BRAS DE SA MÈRE ET tout fut arrangé avec tant d',"ûle du désirs de se retrouver DANS LES BRAS DE SA MÈRE ET de son père... à ces mots, la","(39477, 39504)","(1078670, 1078697)"
Genlis_Chevaliers_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, c'est que, dans une de nos s","(428067, 428096)","(184248, 184277)"
Gorjy_Voyage_0,"e pensionnaires de qualité ou DANS LE SEIN DE SA FAMILLE, ET d'une famille de distinction ","t ses sujets en père, “vivant DANS LE SEIN DE SA FAMILLE “COMME un simple citoyen, donnant à ","(71461, 71491)","(24997, 25030)"
Jacquin_Parisiennes_0,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant "," comme la source du Bonheur. 
IL FAUT SI PEU DE CHOSE POUR occuper notre cœur, qu'il est","(248396, 248425)","(147547, 147575)"
Kimber_Thompson_0,e s'était déterminée à passer LE RESTE DE SES JOURS DANS UN petit appartement secret qu'i,lui faire passer heureusement LE RESTE DE SES JOURS DANS UNE retraite loin du bruit etamp;,"(204930, 204959)","(375595, 375625)"
Laclos_Liaisons_0,"rze, devait me convaincre que JE N'ÉTAIS PAS AU BOUT DE MES caravanes ; \[]je m'en aperçu","des merveilles de la soirée. 
JE N'ÉTAIS PAS AU BOUT DE MES inquiétudes. Il y avait à pei","(177064, 177093)","(215973, 216002)"
Laclos_Liaisons_1,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl"," perdre que de la surprendre. TOUT CE QUE JE PUIS VOUS DIRE, c'est que, placée par M. de ","(428067, 428096)","(215973, 216002)"
Lagrave_Sophie_0,"misère effroyable, et c'était PAR LE PLUS GRAND HASARD DU MONDE, que cette charmante fille, q"," mon entreprise sur madame de BEAUREGARD. MAIS, PAR LE PLUS GRAnd hasard du monde, j'ai décou","(549695, 549728)","(232196, 232229)"
Lagrave_Zabeth_0,"vous me paraissez chérir.""---""AH,"" ME DIT-ELLE, ""VOUS NE CONNAISSEZ PAS tous nos mystères ""---Il me f","es de la Dupuis redoublèrent. AH! DIT-ELLE, VOUS NE CONNAISSEZ PAS toutes mes peines! avant de v","(414733, 414774)","(48714, 48750)"
Lagrave_Zabeth_1,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, c'est que la vieille femme c","(428067, 428096)","(48714, 48750)"
Lesuire_Aventurier_0,"quée, il fit trouver chez lui LA FEMME ET LA FILLE DE CE malheureux, tout était bien f","vous “a accusé d'avoir séduit LA FEMME ET LA “FILLE DE CE Duc. On ajoute, même, des “ch","(39178, 39204)","(232821, 232848)"
Lesuire_Aventurier_1,"2 de long, il avait 30 ans et DE LA PLUS JOLIE FIGURE DU MONDE. Briseeul avait un hochet si ","serteur, qu'on disait décoré “DE LA PLUS JOLIE FIGURE DU MONDE, par “le pouvoir du Diable au","(89536, 89568)","(232821, 232848)"
Lesuire_Crime_0," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl"," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","(428063, 428096)","(8433, 8467)"
Lesuire_Crime_1,"z-vous et soyez docile, c'est TOUT CE QUE JE PUIS VOUS DIRE.""---Grancourt obéit et dans u","ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem","(601936, 601965)","(8433, 8467)"
Louvet_Annee_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","(428067, 428096)","(144267, 144296)"
Louvet_Annee_1,"z-vous et soyez docile, c'est TOUT CE QUE JE PUIS VOUS DIRE.""---Grancourt obéit et dans u","répondre à cette question-là: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'il a, pour cacher s","(601936, 601965)","(144267, 144296)"
Marmontel_Contes_0," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl",uis encore plus malheureux: c'EST TOUT CE QUE JE PUIS VOUS DIRE. Ne vous offensez pas de mon ,"(428063, 428096)","(331121, 331154)"
Marmontel_Incas_0,t là pour dépuceler la petite FILLE DANS LES BRAS DE SA MÈRE et tout fut arrangé avec tant,et laisseriez-vous égorger un FILS DANS LES BRAS DE SA MÈRE? La vie est pour moi peu de c,"(39471, 39501)","(223856, 223885)"
Nerciat_Aphrodites_0,"2 de long, il avait 30 ans et DE LA PLUS JOLIE FIGURE DU MONDE. Briseeul avait un hochet si ","uf, dix.--C'est un nouveau reçU DE LA PLUS JOLIE FIGURE DU MONde, et qui en porte un de neuf","(89536, 89568)","(225165, 225197)"
Nerciat_Etourdi_0,tre mère s'était déterminée à PASSER LE RESTE DE SES JOURS DANS UN petit appartement secret qu'i,vœu fatal qui la comdamnait à PASSER LE RESTE DE SES JOURS DANS UNE prison. Elle était également ,"(204923, 204959)","(191523, 191560)"
Nerciat_Felicia_0,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR DÉPLAIRE à un libertin, tant y ce qu'i","ais qu'on fera bien de lire. 
IL FAUT SI PEU DE CHOSE POUR BOULEVERSER une jeune tête que je ne pus ","(248396, 248434)","(22311, 22351)"
Nerciat_Felicia_1," tout étant disposé la Duclos SE \[]MIT À RACONTER CE QU'ON VA LIRE : ""Il venait d'arriver chez m","enchantement que le chevalier SE MIT À ME RACONTER CE QU'ON VA LIRE dans le chapitre suivant. 
CH","(366097, 366134)","(22311, 22351)"
Prevost_Manon_0,"n bourgeoise, d'aller prendre UN FIACRE AU BOUT DE LA RUE et de débarquer chez elle, un"," la soutenir. Enfin j'aperçus UN FIACRE AU BOUT DE LA RUE. Nous y montâmes. 
Mais lorsq","(302957, 302984)","(168820, 168847)"
Prevost_Manon_1,"s suites firent découvrir que CE N'ÉTAIT PAS LA PREMIÈRE FOIS QUE cela arrivait, et l'on sut qu",t-il avec un sourire moqueur. CE N'ÉTAIT PAS LA PREMIÈRE FOIS QUE vous les eussiez vus. Les mêm,"(421626, 421661)","(168820, 168847)"
Prevost_Monde_0,"s suites firent découvrir que CE N'ÉTAIT PAS LA PREMIÈRE FOIS QUE cela arrivait, et l'on sut qu",pte multiplicité d'aventures. CE N'ÉTAIT PAS LA PREMIÈRE FOIS QUE les mêmes idées m'occupaient.,"(421626, 421661)","(32300, 32335)"
Prevost_Monde_1,"donc,"" ""terminez donc,"" ""mais CE N'EST PAS CE QUE JE VOUS demande,""---et autres propos ","épouser; non, interrompis-je; CE N'EST PAS CE QUE JE VOUS promets; mais vous seriez si ","(662689, 662716)","(32300, 32335)"
Puget_Periphas_0,"as de la baiser, de la lécher DANS TOUTES LES PARTIES DE SON CORPS. ""Ah, mon ami,"" dit à la fin ",ong de ses membres; il se fit DANS TOUTES LES PARTIES DE SON CORPS une révolution mortelle. Déjà,"(432968, 433004)","(66409, 66445)"
Retif_AntiJustine_0,"vrai,---qu'il s'était endormi LE VIT DANS LE CUL DE LA Duclos, qu'on pouvait approfo","ne, en se mettant sur le dos, LE VIT DANS LE CUL DE LA belle jusqu'à la garde ; son ","(633508, 633532)","(143764, 143788)"
Retif_Paysanne_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl"," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","(428067, 428096)","(18833, 18862)"
Riccoboni_LettreJuliette_0,"llez donc,"" ""terminez donc,"" ""MAIS CE N'EST PAS CE QUE JE vous demande,""---et autres pr", là ce que je devrais penser; MAIS CE N'EST PAS CE QUE JE pense. Cette orgueilleuse ind,"(662684, 662711)","(101848, 101875)"
Rousseau_Emile_0,"elle avait été si maltraitée. CE QU'IL Y A DE BIEN SÛR, C'EST QUE rien ne l'avait corrigée et s","moins d'honneur à son auteur. CE QU'IL Y A DE BIEN SÛR, C'EST QUE, si ce livre était bon, il ne","(68641, 68676)","(1061269, 1061304)"
Sade_Aline_0,our dépuceler la petite fille DANS LES BRAS DE SA MÈRE ET tout fut arrangé avec tant d',oges…. Aline s’est précipitée DANS LES BRAS DE SA MÈRE ET l’a accablée de caresses….—Ce,"(39477, 39504)","(139886, 139913)"
Sade_Aline_1,"dégrade tout à fait la fierté QUE NOUS AVONS REÇUE DE LA NATURE, avec tous les défauts \[dis-","at de la sorte d’organisation QUE NOUS AVONS REÇUE DE LA NATURE, que chaque genre d’organisat","(395921, 395954)","(139886, 139913)"
Sade_Aline_2,"e m'emparer de cette somme, j'OBSERVAI AVEC LE PLUS GRAND SOIN TOUT CE QUI POUVAIT me l'approprier. D'Aucourt ne","her dessus, j’en fis le tour, OBSERVANT AVEC LE PLUS GRAND SOIN TOUT CE QUI POUVAIT l’environner, et me permettre","(426621, 426673)","(139886, 139913)"
Sade_Aline_3,"ransporté de joie, mais comme DES AFFAIRES DE LA PLUS GRANDE IMPORTANCE pour ses fortunes et son avan",le pour Cadix où l’appelaient DES AFFAIRES DE LA PLUS GRANDE IMPORTANCE. Il était parti depuis une he,"(556797, 556838)","(139886, 139913)"
Sade_Aline_4,"tre pendus.""---""Non pas vous, MAIS JE NE VOUS CACHE PAS, QUE je condamnerais de bon cœur c",mets pour bien peu de femmes; MAIS JE NE VOUS CACHE PAS QUE vous m’avez plu; votre sort e,"(569052, 569082)","(139886, 139913)"
Sade_Infortunes_0,"sive se trouvaient en état de RENDRE UN COMPTE EXACT DE TOUTES CES RECHERCHES, et comme on s'était appliqué","édité aucune évasion. Il faut RENDRE UN COMPTE EXACT DE TOUTES CES CHOSES, et nous risquons nous-mêmes ","(61531, 61578)","(157310, 157353)"
Sade_Infortunes_1,"n esprit le souvenir chéri de CELLE QUI LUI AVAIT DONNÉ LE JOUR, périssant pour la défendre l","ande amitié que pouvait faire CELLE QUI LUI AVAIT DONNÉ LE JOUR. 
Mme Bertrand était une espè","(214403, 214436)","(157310, 157353)"
Sade_Justine_0," demander une nommée Rosalie, UNE DES PLUS BELLES BLONDES QU'IL FÛT POSSIBLE DE VOIR, je fus curieuse d'observer c","nde avait seize ans ; c'était UNE DES PLUS BELLES BLONDES QU'IL FÛT POSSIBLE DE VOIR, des traits vraiment délicieu","(220322, 220376)","(273609, 273663)"
Sade_Justine_1," moins que dans le cas forcé, AINSI QUE JE VIENS DE LE DIRE, il fallait que ce fussent de"," une habitation ; c'est donc, AINSI QUE JE VIENS DE LE DIRE, par une trappe donnant dans ","(302046, 302075)","(273609, 273663)"
Sade_Justine_2,"dégrade tout à fait la fierté QUE NOUS AVONS REÇUE DE LA NATURE, avec tous les défauts \[dis-","de de la sorte d'organisation QUE NOUS AVONS REÇUE DE LA NATURE Cela posé, je le demande, de ","(395921, 395954)","(273609, 273663)"
Sade_Justine_3,","" dit le duc, en s'écriant, ""IL EST DONC VRAI QUE LE CRIME a par lui-même un tel attrait","au sein du crime Que dis-je ? IL EST DONC VRAI QUE LE CRIME seul l'éveille et le décide, ","(462296, 462325)","(273609, 273663)"
Sade_Philosophie_0,"dut se placer tout de suite à PLAT VENTRE SUR LE BORD DU LIT, notre libertin, homme d'envi","uissance, est de se coucher à PLAT VENTRE SUR LE BORD DU LIT, les fesses bien écartées, la","(235457, 235487)","(93350, 93380)"
Sade_Philosophie_1,"e et tenant de ses deux mains CES BELLES FESSES DANS LE PLUS GRAND ÉCARTEMENT POSSIBLE, et sa langue et sa bouche en","ans mes bras, en lui exposant TES BELLES FESSES DANS LE PLUS GRAND ÉCARTEMENT POSSIBLE... oui, c'est cela : nous pou","(368490, 368546)","(93350, 93380)"
Sade_Philosophie_2,"dégrade tout à fait la fierté QUE NOUS AVONS REÇUE DE LA NATURE, avec tous les défauts \[dis-",il devient donc incontestable QUE NOUS AVONS REÇU DE LA NATURE le droit d'exprimer nos vœux ,"(395921, 395954)","(93350, 93380)"
Sade_Philosophie_3," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(428063, 428096)","(93350, 93380)"
Segur_Correspondance_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl",". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","(428067, 428096)","(59642, 59671)"
Segur_Correspondance_1,"l cesse ni quand il commence, TOUT CE QUE JE PUIS VOUS CERTIFIER, c'est que dans le moment, où","ais des efforts qui me tuent. TOUT CE QUE JE PUIS VOUS PROMETTRE, c'est de ne rien épargner po","(505228, 505262)","(59642, 59671)"
Senac_Emigre_0,er \[] la moindre lubricité.) IL N'EN ÉTAIT PAS DE MÊME DE celui que le hasard m'offrit ,"à abandonner le parti du Roi. IL N'EN ÉTAIT PAS DE MÊME DE la cavalerie, dont la composi","(179164, 179192)","(93753, 93781)"
Senac_Emigre_1,"tre racontés, où que de ceux, DONT JE VIENS DE VOUS PARLER, LORSQUE l'on me fit dire de m'ajuster", médecin et la femme de chambrE DONT JE VIENS DE VOUS PARLER. LORSQue j'ai été mieux j'ai parlé d,"(241269, 241306)","(93753, 93781)"
Souza_Adele_0,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant "," ils paraissaient heureux; et IL FAUT SI PEU DE CHOSE POUR troubler le bonheur, que j'ai","(248396, 248425)","(113627, 113655)"
Voltaire_Candide_0," donc s'étant arrangé, Duclos REPRIT AINSI LE FIL DE SON HISTOIRE.---""UN jour,"" dit cette belle fille,","ntinuez », dit Candide. 
Elle REPRIT AINSI LE FIL DE SON HISTOIRE : « UN capitaine bulgare entra, il m","(599816, 599858)","(32366, 32408)"
Voltaire_Princesse_0," attendait depuis longtemps ; DÈS QUE TOUT LE MONDE FUT ARRANGÉ, elle poursuivit le récit de ","ard, enflammèrent sa passion. DÈS QUE TOUT LE MONDE FUT RETIRÉ, elle lui écrivit un petit bi","(620357, 620390)","(102960, 102992)"
